"name","rfid","equipment_type","asset_cost","rental_cost","location","purchased","notes"
"CFM2000-AIR SCRUBBER-AS#-12616207856-MEDFORD WHSE","0000 0000 0000 0000 1112 2003","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207861-MEDFORD WHSE","0000 0000 0000 0000 1112 0253","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207863-MEDFORD WHSE","0000 0000 0000 0000 1112 2020","Air Scrubber","$630.00","$0","","","Notes"
"CFM2000-AIR SCRUBBER-AS#-12616207865-MEDFORD WHSE","0000 0000 0000 0000 1112 5828","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207867-MEDFORD WHSE","0000 0000 0000 0000 1112 2027","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207869-MEDFORD WHSE","0000 0000 0000 0000 1112 5810","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207902-MEDFORD WHSE","0000 0000 0000 0000 1112 2049","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207912-MEDFORD WHSE","0000 0000 0000 0000 1112 5831","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207918-MEDFORD WHSE","0000 0000 0000 0000 1112 2018","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207928-MEDFORD WHSE","0000 0000 0000 0000 1112 2026","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207940-MEDFORD WHSE","0000 0000 0000 0000 1112 0191","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616207941-MEDFORD WHSE","0000 0000 0000 0000 1112 2022","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12616209911-MEDFORD WHSE","0000 0000 0000 0000 1112 5844","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-126206977-MEDFORD WHSE","0000 0000 0000 0000 1112 5802","Air Scrubber","$630.00","$0","","",""
"CFM2000-AIR SCRUBBER-AS#-12715302195-MEDFORD WHSE","0000 0000 0000 0000 1112 5815","Air Scrubber","$630.00","$0","","",""
"CRAFTSMAN SNOW BLOWER- MEDFORD WAREHOUSE","0000 0000 0000 0000 1112 0196","Misc.","","$0","","",""
"DEWALT GENERATOR(2)- MEDFORD WAREHOUSE","0000 0000 0000 0000 1112 0452","Generator","","$0","","",""
"DEWALT GENERATOR- MEDFORD WAREHOUSE","0000 0000 0000 0000 1112 2008","Generator","","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02602-AS#-2602-JERSEY WHSE","8230 0000 0000 0000 0006 7712","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02610-AS#-2610-JERSEY WHSE","8230 0000 0000 0000 0006 7719","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02617-AS#-2617-JERSEY WHSE","8230 0000 0000 0000 0006 7706","Air Scrubber","$819.00","$0","","",""
"DRIEAZ HEPA 500-AIR SCRUBBER-SN#-02718-AS#-2718-JERSEY WHSE","8230 0000 0000 0000 0006 7721","Air Scrubber","$819.00","$0","","",""
